step,soil_moisture,temperature,humidity,rainfall_24h,hours_since_irrigation,irrigate_decision,irrigation_confidence,disease_label,disease_confidence
1,53.2,34.2,57.8,0,99.0,0,1.0,Tomato_healthy,0.854
2,50.3,36.0,57.5,2.5,100.0,0,1.0,Tomato_Early_blight,0.731
3,46.9,35.5,49.4,0,101.0,0,1.0,Corn_Common_rust,0.817
4,45.3,29.3,77.4,2.8,102.0,0,1.0,Tomato_Late_blight,0.678
5,43.5,33.0,64.8,4.4,103.0,0,1.0,Tomato_Early_blight,0.772
6,41.2,26.3,47.3,1.1,104.0,0,1.0,Tomato_healthy,0.928
7,38.2,33.6,40.4,2.5,105.0,1,1.0,Tomato_Late_blight,0.775
8,64.3,24.0,63.7,4.9,0.0,0,1.0,Corn_Common_rust,0.908
9,61.9,32.6,53.1,5.8,1.0,0,1.0,Corn_healthy,0.686
10,60.4,28.9,43.8,0,2.0,0,1.0,Corn_healthy,0.889
11,57.7,32.7,65.7,1.1,3.0,0,1.0,Corn_healthy,0.669
12,55.4,30.8,52.7,0.6,4.0,0,1.0,Tomato_healthy,0.656
13,52.5,29.7,70.3,2.0,5.0,0,1.0,Corn_healthy,0.905
14,50.4,28.5,43.7,1.8,6.0,0,1.0,Tomato_healthy,0.782
15,47.2,26.1,52.5,1.6,7.0,0,1.0,Corn_Common_rust,0.727
16,44.9,32.2,50.4,0,8.0,0,1.0,Tomato_healthy,0.652
17,42.1,29.1,41.5,2.6,9.0,0,1.0,Tomato_Early_blight,0.674
18,39.6,27.7,54.4,5.6,10.0,0,1.0,Tomato_Late_blight,0.903
19,37.0,26.9,52.0,4.5,11.0,0,1.0,Corn_healthy,0.805
20,34.7,37.9,49.2,2.5,12.0,0,1.0,Corn_healthy,0.697
21,32.2,27.8,61.6,2.1,13.0,1,1.0,Corn_healthy,0.801
22,64.4,31.4,75.3,1.3,0.0,0,1.0,Tomato_healthy,0.849
23,61.6,32.7,58.4,3.2,1.0,0,1.0,Tomato_healthy,0.621
24,59.9,28.8,49.6,0.5,2.0,0,1.0,Tomato_Early_blight,0.848
